ingr,Thiamin,Vitamin B12,Vitamin B6,Protein,Riboflavin,Copper,Saturated fat,Vitamin K,Fat,Phosphorus,Dietary Fiber,Vitamin E,Pantothenic acid,Magnesium,Potassium,Sodium,Biotin,Cholesterol,Folate,Niacin,Iron,Selenium,Calcium,Total carbohydrates,Zinc,Choline,Vitamin A,Vitamin C,Vitamin D
collard greens,,,,0.047,,,0.0,,0.0,,0.125,,,,,0.00782608695652174,,0.0,,,0.0,,0.09076923076923077,0.021381818181818182,,,,0.3922222222222222,
cookies,,,,0.091,,,0.3975,,0.291025641025641,,0.08214285714285714,,,,0.02893617021276596,0.13826086956521738,,0.0,,,0.22722222222222221,,0.0,0.23963636363636365,,,,0.0,
coriander,0.19916666666666666,0.0,,0.248,0.22307692307692306,1.0833333333333333,0.0495,,0.22820512820512823,0.3272,1.4964285714285714,,,0.7857142857142857,0.2702127659574468,0.015217391304347827,,0.0,0.0,0.133125,0.9055555555555556,0.4763636363636364,0.5453846153846154,0.2,0.4272727272727273,,0.0,0.23333333333333334,0.0
corn,,,,0.0706,,,0.0,,0.015128205128205128,,0.04285714285714286,,,,0.023617021276595745,0.0,,0.0,,,0.0,,0.0,0.08145454545454545,,,,,
cornmeal,,,,0.14279999999999998,,,0.0,,0.0,,0.08571428571428572,,,,,0.0,,0.0,,,0.04777777777777778,,0.0,0.29454545454545455,,,,0.0,
cottage cheese,,,,0.212,,,0.155,,0.056666666666666664,,0.0,,,,0.03021276595744681,0.18478260869565216,,0.07333333333333333,,,0.0,,0.054615384615384614,0.016072727272727273,,,,0.0,
couscous,,,,0.266,,,0.0,,0.0,,0.15714285714285717,,,,0.04021276595744681,0.0,,0.0,,,0.12333333333333335,,0.025384615384615384,0.2829090909090909,,,,,
crab,,,,0.456,,,0.0,,0.015769230769230768,,0.0,,,,,0.16260869565217392,,0.35,,,0.05277777777777778,,0.06769230769230769,0.0,,,,,
cranberry,,,,0.0,,,,,0.0,,,,,,,0.006521739130434782,,,,,0.008333333333333333,,,0.045454545454545456,,,,0.2777777777777778,
cream cheese,,,,0.14279999999999998,,,1.0699999999999998,,0.4115384615384616,,0.0,,,,0.0,0.14739130434782607,,0.3566666666666667,,,0.0,,0.054615384615384614,0.025963636363636362,,,,,
cucumber,0.0175,0.0,0.02176470588235294,0.0104,0.01846153846153846,0.034444444444444444,0.00135,0.08333333333333333,0.0011538461538461537,0.016,0.017857142857142856,0.0013333333333333333,,0.023809523809523808,0.02617021276595745,0.10260869565217391,,0.0,0.015,0.0045,0.013333333333333332,0.005454545454545454,0.010769230769230769,0.02618181818181818,0.013636363636363636,0.007818181818181818,0.0033333333333333335,0.027777777777777776,0.0
currant,0.13333333333333333,0.0,0.17411764705882352,0.06860000000000001,0.10923076923076921,0.3311111111111111,0.00425,0.0275,0.0028205128205128207,0.0792,0.15714285714285717,0.007333333333333333,,0.08571428571428572,0.16531914893617022,0.018695652173913044,,0.0,0.025,0.10125,0.10444444444444444,0.012727272727272726,0.06769230769230769,0.28,0.03363636363636364,0.01927272727272727,0.0044444444444444444,0.052222222222222225,0.0
